62-я (1990)`• Изабель Аджани`«Камилла Клодель»`                Камилла Клодель` 
62-я (1990)`• Полин Коллинз`«Ширли Валентайн»`                Ширли Валентайн-Брэдшоу` 
62-я (1990)`• Джессика Лэнг`«Музыкальная шкатулка»`                Энн Тэлбот` 
62-я (1990)`• Мишель Пфайффер`«Знаменитые братья Бэйкеры»`                Сьюзи Диамонд` 
63-я (1991)`• Кэти Бэйтс`«Мизери»`                Энни Уилкс` 
63-я (1991)`• Анжелика Хьюстон`«Кидалы»`                Лилли Диллон` 
63-я (1991)`• Джулия Робертс`«Красотка»`                Вивьен Уорд` 
63-я (1991)`• Мерил Стрип`«Открытки с края бездны»`                Сьюзан Вэйл` 
63-я (1991)`• Джоан Вудворд`«Мистер и миссис Бридж»`                Индия Бридж` 
64-я (1992)`• Джоди Фостер`«Молчание ягнят»`                Клариса Старлинг` 
64-я (1992)`• Джина Дэвис`«Тельма и Луиза»`                Тельма Ивонн Дикинсон` 
64-я (1992)`• Лора Дерн`«Слабая Роза»`                Роза` 
64-я (1992)`• Бетт Мидлер`«Для наших ребят»`                Дикси Леонард` 
64-я (1992)`• Сьюзан Сарандон`«Тельма и Луиза»`                Луиза Элизабет Сойер` 
65-я (1993)`• Эмма Томпсон`«Говардс Энд»`                Маргарет Шлегель` 
65-я (1993)`• Катрин Денёв`«Индокитай»`                Элиан Деврие` 
65-я (1993)`• Мэри Макдоннелл`«Рыба страсти»`                Мэй-Элис Колхейн` 
65-я (1993)`• Мишель Пфайффер`«Поле любви»`                Лурин Хэллетт` 
65-я (1993)`• Сьюзан Сарандон`«Масло Лоренцо»`                Михаэла Одоне` 
