1954 (26-я),«Юлий Цезарь»,Metro-Goldwyn-Mayer,                Джон Хаусман, 
1954 (26-я),«Плащаница»,20th Century Fox,                Фрэнк Росс, 
1954 (26-я),«Римские каникулы»,Paramount Pictures,                Уильям Уайлер, 
1954 (26-я),«Шейн»,Paramount Pictures,                Джордж Стивенс, 
1955 (27-я),★ «В порту»,Columbia Pictures,                Сэм Шпигель, 
1955 (27-я),«Бунт на «Кейне»»,Columbia Pictures,                Стэнли Крамер, 
1955 (27-я),«Деревенская девушка»,Paramount Pictures,                Уильям Перлберг, 
1955 (27-я),«Семь невест для семерых братьев»,Metro-Goldwyn-Mayer,                Джек Каммингс, 
1955 (27-я),«Три монетки в фонтане»,20th Century Fox,                Сол Сигел, 
1956 (28-я),★ «Марти»,United Artists,                Гарольд Хехт, 
1956 (28-я),«Любовь — самая великолепная вещь на свете»,20th Century Fox,                Бадди Адлер, 
1956 (28-я),«Мистер Робертс»,Warner Bros.,                Лилэнд Хэйуорд, 
1956 (28-я),«Пикник»,Columbia Pictures,                Фред Колмар, 
1956 (28-я),«Татуированная роза»,Paramount Pictures,                Хэл Б. Уоллис, 
1957 (29-я),★ «Вокруг света за 80 дней»,United Artists,                Майкл Тодд, 
1957 (29-я),«Дружеское увещевание»,Allied Artists,                Уильям Уайлер, 
1957 (29-я),«Гигант»,Warner Bros.,                Джордж Стивенс; Генри Гинсберг, 
1957 (29-я),«Король и я»,20th Century Fox,                Чарльз Брэкетт, 
1957 (29-я),«Десять заповедей»,Paramount Pictures,                Сесил Блаунт Демилль, 
1958 (30-я),★ «Мост через реку Квай»,Columbia Pictures,                Сэм Шпигель, 
1958 (30-я),«Пейтон-плейс»,20th Century Fox,                Джерри Уолд, 
1958 (30-я),«Сайонара»,Warner Bros.,                Уильям Гетц, 
1958 (30-я),«12 разгневанных мужчин»,United Artists,                Генри Фонда; Реджинальд Роуз, 
1958 (30-я),«Свидетель обвинения»,United Artists,                Артур Хорнблоу мл., 
1959 (31-я),★ «Жижи»,Metro-Goldwyn-Mayer,                Артур Фрид, 
1959 (31-я),«Тётушка Мэйм»,Warner Bros.,                Джек Уорнер, 
1959 (31-я),«Кошка на раскалённой крыше»,Metro-Goldwyn-Mayer,                Лоуренс Уайнгартен, 
1959 (31-я),«Не склонившие головы»,Kramer; United Artists,                Стэнли Крамер, 
1959 (31-я),«За отдельными столиками»,United Artists,                Гарольд Хехт, 
1960 (32-я),★ «Бен-Гур»,Metro-Goldwyn-Mayer,                Сэм Цимбалист, 
1960 (32-я),«Анатомия убийства»,Columbia Pictures,                Отто Премингер, 
1960 (32-я),«Дневник Анны Франк»,20th Century Fox,                Джордж Стивенс, 
1960 (32-я),«История монахини»,Warner Bros.,                Хенри Блэнк, 
1960 (32-я),«Путь наверх»,Continental; British Lion Films,                Джеймс Вульф; Джон Вулф, 
1961 (33-я),★ «Квартира»,United Artists,                Билли Уайлдер, 
1961 (33-я),«Форт Аламо»,United Artists,                Джон Уэйн, 
1961 (33-я),«Элмер Гантри»,United Artists,                Бернард Смит, 
1961 (33-я),«Сыновья и любовники»,20th Century Fox,                Джерри Уолд, 
1961 (33-я),«Бродяги»,Warner Bros.,                Фред Циннеман, 
1962 (34-я),★ «Вестсайдская история»,United Artists,                Роберт Уайз, 
1962 (34-я),«Фанни»,Warner Bros.,                Джошуа Логан, 
1962 (34-я),«Пушки острова Наварон»,Columbia Pictures,                Карл Форман, 
1962 (34-я),«Мошенник»,20th Century Fox,                Роберт Россен, 
1962 (34-я),«Нюрнбергский процесс»,United Artists,                Стэнли Крамер, 
1963 (35-я),★ «Лоуренс Аравийский»,Columbia Pictures,                Сэм Шпигель, 
1963 (35-я),«Самый длинный день»,20th Century Fox,                Дэррил Фрэнсис Занук, 
1963 (35-я),«Музыкант»,Warner Bros.,                Мортон ДаКоста, 
1963 (35-я),«Мятеж на „Баунти“»,Metro-Goldwyn-Mayer,                Аарон Розенберг, 
1963 (35-я),«Убить пересмешника»,U-I,                Алан Пакула, 
1964 (36-я),★ «Том Джонс»,United Artists,                Тони Ричардсон, 
1964 (36-я),«Америка; Америка»,Warner Bros.,                Элиа Казан, 
1964 (36-я),«Клеопатра»,20th Century Fox,                Уолтер Уэнджер, 
1964 (36-я),«Как был завоёван Запад»,Metro-Goldwyn-Mayer; Cinerama,                Бернард Смит, 
1964 (36-я),«Полевые лилии»,United Artists,                Ральф Нельсон, 
1965 (37-я),★ «Моя прекрасная леди»,Warner Bros.,                Джек Уорнер, 
1965 (37-я),«Бекет»,Paramount Pictures,                Хэл Б. Уоллис, 
1965 (37-я),«Доктор Стрейнджлав»,Columbia Pictures,                Стэнли Кубрик, 
1965 (37-я),«Мэри Поппинс»,The Walt Disney Company,                Уолт Дисней; Билл Уолш, 
1965 (37-я),«Грек Зорба»,20th Century Fox,                Михалис Какояннис, 
1966 (38-я),★ «Звуки музыки»,20th Century Fox,                Роберт Уайз, 
1966 (38-я),«Дорогая»,Embassy,                Джон Шлезингер, 
1966 (38-я),«Доктор Живаго»,Metro-Goldwyn-Mayer,                Карло Понти, 
1966 (38-я),«Корабль дураков»,Columbia Pictures,                Стэнли Крамер, 
1966 (38-я),«Тысяча клоунов»,United Artists,                Фред Коу, 
1967 (39-я),★ «Человек на все времена»,Columbia Pictures,                Фред Циннеман, 
1967 (39-я),«Элфи»,Paramount Pictures,                Льюис Гилберт, 
1967 (39-я),«Русские идут! Русские идут!»,United Artists,                Норман Джуисон, 
1967 (39-я),«Песчаная галька»,20th Century Fox,                Роберт Уайз, 
1967 (39-я),«Кто боится Вирджинии Вулф?»,Warner Bros.,                Эрнест Леман, 
1968 (40-я),★ «Душной южной ночью»,United Artists,                Уолтер Мириш, 
1968 (40-я),«Бонни и Клайд»,Warner Bros.; Seven Arts,                Уоррен Битти, 
1968 (40-я),«Доктор Дулиттл»,20th Century Fox,                Артур Джейкобс, 
1968 (40-я),«Выпускник»,Embassy,                Лоуренс Турман, 
1968 (40-я),«Угадай; кто придёт к обеду?»,Columbia Pictures,                Стэнли Крамер, 
1969 (41-я),★ «Оливер!»,Columbia Pictures,                Джон Вулф, 
1969 (41-я),«Смешная девчонка»,Columbia Pictures,                Рэй Старк, 
1969 (41-я),«Лев зимой»,Avco Embassy,                Мартин Полл, 
1969 (41-я),«Рейчел; Рейчел»,Warner Bros.,                Пол Ньюман, 
1969 (41-я),«Ромео и Джульетта»,Paramount Pictures,                Энтони Хейвлок-Аллан; Джон Брабурн, 
1970 (42-я),★ «Полуночный ковбой»,United Artists,                Джером Хеллман, 
1970 (42-я),«Тысяча дней Анны»,Universal Pictures,                Хэл Б. Уоллис, 
1970 (42-я),«Бутч Кэссиди и Санденс Кид»,20th Century Fox,                Джон Формен, 
1970 (42-я),«Хелло; Долли!»,20th Century Fox,                Эрнест Леман, 
1970 (42-я),«Дзета»,Cinema V,                Жак Перрен; Ахмед Рашеди, 
1971 (43-я),★ «Паттон»,20th Century Fox,                Фрэнк МакКерти, 
1971 (43-я),«Аэропорт»,Universal Pictures,                Росс Хантер, 
1971 (43-я),«Пять лёгких пьес»,Columbia Pictures,                Боб Рейфелсон; Ричард Уэкслер, 
1971 (43-я),«История любви»,Paramount Pictures,                Ховард Дж. Мински, 
1971 (43-я),«Военно-полевой госпиталь»,20th Century Fox,                Инго Премингер, 
1972 (44-я),★ «Французский связной»,20th Century Fox,                Филип Д’Антони, 
1972 (44-я),«Заводной апельсин»,Warner Bros.,                Стэнли Кубрик, 
1972 (44-я),«Скрипач на крыше»,United Artists,                Норман Джуисон, 
1972 (44-я),«Последний киносеанс»,Columbia Pictures,                Стивен Дж. Фридман, 
1972 (44-я),«Николай и Александра»,Columbia Pictures,                Сэм Шпигель, 
1973 (45-я),★ «Крёстный отец»,Paramount Pictures,                Альберт С. Радди, 
1973 (45-я),«Кабаре»,Allied Artists,                Сай Фойер, 
1973 (45-я),«Избавление»,Warner Bros.,                Джон Бурмен, 
1973 (45-я),«Эмигранты»,Warner Bros.,                Бенгт Форслунд, 
1973 (45-я),«Саундер»,20th Century Fox,                Роберт Б. Радниц, 
1974 (46-я),★ «Афера»,Universal Pictures,                Тони Билл; Майкл Филлипс; Джулия Филлипс, 
1974 (46-я),«Американские граффити»,Lucasfilm; Universal,                Фрэнсис Форд Коппола; Гари Кёртц, 
1974 (46-я),«Шёпоты и крики»,New World Pictures,                Ингмар Бергман, 
1974 (46-я),«Изгоняющий дьявола»,Warner Bros.,                Уильям Питер Блэтти, 
1974 (46-я),«С шиком»,Avco Embassy,                Мелвин Фрэнк, 
1975 (47-я),★ «Крёстный отец 2»,Paramount Pictures,                Фрэнсис Форд Коппола; Грэй Фредериксон; Фред Рус, 
1975 (47-я),«Китайский квартал»,Paramount Pictures,                Роберт Эванс, 
1975 (47-я),«Разговор»,Paramount Pictures,                Фрэнсис Форд Коппола, 
1975 (47-я),«Ленни»,United Artists,                Марвин Ворф, 
1975 (47-я),«Ад в поднебесье»,20th Century Fox; Warner Bros.,                Ирвин Аллен, 
1976 (48-я),★ «Пролетая над гнездом кукушки»,United Artists,                Саул Зейнц; Майкл Дуглас, 
1976 (48-я),«Барри Линдон»,Warner Bros.,                Стэнли Кубрик, 
1976 (48-я),«Собачий полдень»,Warner Bros.,                Мартин Брегман; Мартин Элфэнд, 
1976 (48-я),«Челюсти»,Universal Pictures,                Ричард Дэррил Занук; Дэвид Браун, 
